"done","man_bud_type","yield_value","public_land","tend_crop_yield","land_type","ytb_type"
1,"fixed",0.2,0,0.2,"equal","beta1"
1,"mean",0.2,0,0.2,"equal","beta1"
1,"max",0.2,0,0.2,"equal","beta1"
1,"fixed",0.4,0,0.2,"equal","beta1"
1,"mean",0.4,0,0.2,"equal","beta1"
1,"max",0.4,0,0.2,"equal","beta1"
1,"fixed",0.6,0,0.2,"equal","beta1"
1,"mean",0.6,0,0.2,"equal","beta1"
1,"max",0.6,0,0.2,"equal","beta1"
1,"fixed",0.8,0,0.2,"equal","beta1"
1,"mean",0.8,0,0.2,"equal","beta1"
1,"max",0.8,0,0.2,"equal","beta1"
1,"fixed",0.2,0.25,0.2,"equal","beta1"
1,"mean",0.2,0.25,0.2,"equal","beta1"
1,"max",0.2,0.25,0.2,"equal","beta1"
1,"fixed",0.4,0.25,0.2,"equal","beta1"
1,"mean",0.4,0.25,0.2,"equal","beta1"
1,"max",0.4,0.25,0.2,"equal","beta1"
1,"fixed",0.6,0.25,0.2,"equal","beta1"
1,"mean",0.6,0.25,0.2,"equal","beta1"
1,"max",0.6,0.25,0.2,"equal","beta1"
1,"fixed",0.8,0.25,0.2,"equal","beta1"
1,"mean",0.8,0.25,0.2,"equal","beta1"
1,"max",0.8,0.25,0.2,"equal","beta1"
1,"fixed",0.2,0.5,0.2,"equal","beta1"
1,"mean",0.2,0.5,0.2,"equal","beta1"
1,"max",0.2,0.5,0.2,"equal","beta1"
1,"fixed",0.4,0.5,0.2,"equal","beta1"
1,"mean",0.4,0.5,0.2,"equal","beta1"
1,"max",0.4,0.5,0.2,"equal","beta1"
1,"fixed",0.6,0.5,0.2,"equal","beta1"
1,"mean",0.6,0.5,0.2,"equal","beta1"
1,"max",0.6,0.5,0.2,"equal","beta1"
1,"fixed",0.8,0.5,0.2,"equal","beta1"
1,"mean",0.8,0.5,0.2,"equal","beta1"
1,"max",0.8,0.5,0.2,"equal","beta1"
1,"fixed",0.2,0,0.5,"equal","beta1"
1,"mean",0.2,0,0.5,"equal","beta1"
1,"max",0.2,0,0.5,"equal","beta1"
1,"fixed",0.4,0,0.5,"equal","beta1"
1,"mean",0.4,0,0.5,"equal","beta1"
1,"max",0.4,0,0.5,"equal","beta1"
1,"fixed",0.6,0,0.5,"equal","beta1"
1,"mean",0.6,0,0.5,"equal","beta1"
1,"max",0.6,0,0.5,"equal","beta1"
1,"fixed",0.8,0,0.5,"equal","beta1"
1,"mean",0.8,0,0.5,"equal","beta1"
1,"max",0.8,0,0.5,"equal","beta1"
1,"fixed",0.2,0.25,0.5,"equal","beta1"
1,"mean",0.2,0.25,0.5,"equal","beta1"
1,"max",0.2,0.25,0.5,"equal","beta1"
1,"fixed",0.4,0.25,0.5,"equal","beta1"
1,"mean",0.4,0.25,0.5,"equal","beta1"
1,"max",0.4,0.25,0.5,"equal","beta1"
1,"fixed",0.6,0.25,0.5,"equal","beta1"
1,"mean",0.6,0.25,0.5,"equal","beta1"
1,"max",0.6,0.25,0.5,"equal","beta1"
1,"fixed",0.8,0.25,0.5,"equal","beta1"
1,"mean",0.8,0.25,0.5,"equal","beta1"
1,"max",0.8,0.25,0.5,"equal","beta1"
1,"fixed",0.2,0.5,0.5,"equal","beta1"
1,"mean",0.2,0.5,0.5,"equal","beta1"
1,"max",0.2,0.5,0.5,"equal","beta1"
1,"fixed",0.4,0.5,0.5,"equal","beta1"
1,"mean",0.4,0.5,0.5,"equal","beta1"
1,"max",0.4,0.5,0.5,"equal","beta1"
1,"fixed",0.6,0.5,0.5,"equal","beta1"
1,"mean",0.6,0.5,0.5,"equal","beta1"
1,"max",0.6,0.5,0.5,"equal","beta1"
1,"fixed",0.8,0.5,0.5,"equal","beta1"
1,"mean",0.8,0.5,0.5,"equal","beta1"
1,"max",0.8,0.5,0.5,"equal","beta1"
1,"fixed",0.2,0,0.8,"equal","beta1"
1,"mean",0.2,0,0.8,"equal","beta1"
1,"max",0.2,0,0.8,"equal","beta1"
1,"fixed",0.4,0,0.8,"equal","beta1"
1,"mean",0.4,0,0.8,"equal","beta1"
1,"max",0.4,0,0.8,"equal","beta1"
1,"fixed",0.6,0,0.8,"equal","beta1"
1,"mean",0.6,0,0.8,"equal","beta1"
1,"max",0.6,0,0.8,"equal","beta1"
1,"fixed",0.8,0,0.8,"equal","beta1"
1,"mean",0.8,0,0.8,"equal","beta1"
1,"max",0.8,0,0.8,"equal","beta1"
1,"fixed",0.2,0.25,0.8,"equal","beta1"
1,"mean",0.2,0.25,0.8,"equal","beta1"
1,"max",0.2,0.25,0.8,"equal","beta1"
1,"fixed",0.4,0.25,0.8,"equal","beta1"
1,"mean",0.4,0.25,0.8,"equal","beta1"
1,"max",0.4,0.25,0.8,"equal","beta1"
1,"fixed",0.6,0.25,0.8,"equal","beta1"
1,"mean",0.6,0.25,0.8,"equal","beta1"
1,"max",0.6,0.25,0.8,"equal","beta1"
1,"fixed",0.8,0.25,0.8,"equal","beta1"
1,"mean",0.8,0.25,0.8,"equal","beta1"
1,"max",0.8,0.25,0.8,"equal","beta1"
1,"fixed",0.2,0.5,0.8,"equal","beta1"
1,"mean",0.2,0.5,0.8,"equal","beta1"
1,"max",0.2,0.5,0.8,"equal","beta1"
1,"fixed",0.4,0.5,0.8,"equal","beta1"
1,"mean",0.4,0.5,0.8,"equal","beta1"
