"SIM","YEAR","N","N_OBS"
1,1,1014,1014
1,2,823,823
1,3,867,867
1,4,909,909
1,5,1096,1096
1,6,1122,1122
1,7,762,762
1,8,794,794
1,9,861,861
1,10,930,930
1,11,1018,1018
1,12,1053,1053
1,13,995,995
1,14,1076,1076
1,15,1120,1120
1,16,1078,1078
1,17,1089,1089
1,18,1107,1107
1,19,1159,1159
1,20,1216,1216
1,21,1267,1267
1,22,1302,1302
1,23,1325,1325
1,24,1334,1334
1,25,1379,1379
1,26,1387,1387
1,27,1360,1360
1,28,1349,1349
1,29,1354,1354
1,30,1331,1331
1,31,1322,1322
1,32,1325,1325
1,33,1334,1334
1,34,1331,1331
1,35,1328,1328
1,36,1326,1326
1,37,1311,1311
1,38,1329,1329
1,39,1299,1299
1,40,1293,1293
1,41,1287,1287
1,42,1299,1299
1,43,1291,1291
1,44,1291,1291
1,45,1297,1297
1,46,1269,1269
1,47,1262,1262
1,48,1233,1233
1,49,1238,1238
1,50,1238,1238
1,51,1247,1247
1,52,1222,1222
1,53,1210,1210
1,54,1225,1225
1,55,1208,1208
1,56,1210,1210
1,57,1208,1208
1,58,1231,1231
1,59,1212,1212
1,60,1223,1223
1,61,1221,1221
1,62,1223,1223
1,63,1201,1201
1,64,1179,1179
1,65,1185,1185
1,66,1185,1185
1,67,1167,1167
1,68,1163,1163
1,69,1169,1169
1,70,1184,1184
1,71,1173,1173
1,72,1156,1156
1,73,1137,1137
1,74,1133,1133
1,75,1159,1159
1,76,1143,1143
1,77,1161,1161
1,78,1133,1133
1,79,1149,1149
1,80,1150,1150
1,81,1146,1146
1,82,1104,1104
1,83,1112,1112
1,84,1129,1129
1,85,1124,1124
1,86,1114,1114
1,87,1114,1114
1,88,1113,1113
1,89,1099,1099
1,90,1090,1090
1,91,1105,1105
1,92,1094,1094
1,93,1098,1098
1,94,1080,1080
1,95,1077,1077
1,96,1057,1057
1,97,1058,1058
1,98,1048,1048
1,99,1060,1060
1,100,1064,1064
2,1,994,994
2,2,989,989
2,3,998,998
2,4,1031,1031
2,5,1140,1140
2,6,706,706
2,7,745,745
2,8,791,791
2,9,827,827
