"SIM","status","year"
1,TRUE,13
2,TRUE,12
3,TRUE,11
4,TRUE,13
5,TRUE,11
6,TRUE,13
7,TRUE,2
8,TRUE,10
9,TRUE,14
10,TRUE,15
11,TRUE,8
12,TRUE,10
13,TRUE,16
14,TRUE,10
15,TRUE,13
16,TRUE,14
17,TRUE,12
18,TRUE,9
19,TRUE,11
20,TRUE,13
21,TRUE,15
22,TRUE,8
23,TRUE,7
24,TRUE,2
25,TRUE,12
26,TRUE,16
27,TRUE,14
28,TRUE,10
29,TRUE,13
30,TRUE,10
31,TRUE,13
32,TRUE,14
33,TRUE,6
34,TRUE,12
35,TRUE,12
36,TRUE,9
37,TRUE,12
38,TRUE,7
39,TRUE,12
40,TRUE,10
41,TRUE,8
42,TRUE,9
43,TRUE,10
44,TRUE,10
45,TRUE,9
46,TRUE,13
47,TRUE,10
48,TRUE,12
49,TRUE,9
50,TRUE,2
51,TRUE,13
52,TRUE,9
53,TRUE,11
54,TRUE,10
55,TRUE,13
56,TRUE,13
57,TRUE,10
58,TRUE,9
59,TRUE,11
60,TRUE,13
61,TRUE,9
62,TRUE,13
63,TRUE,2
64,TRUE,9
65,TRUE,2
66,TRUE,14
67,TRUE,2
68,TRUE,12
69,TRUE,8
70,TRUE,14
71,TRUE,2
72,TRUE,2
73,TRUE,8
74,TRUE,14
75,TRUE,13
76,TRUE,13
77,TRUE,13
78,TRUE,15
79,TRUE,14
80,TRUE,14
81,TRUE,8
82,TRUE,11
83,TRUE,7
84,TRUE,8
85,TRUE,8
86,TRUE,15
87,TRUE,13
88,TRUE,14
89,TRUE,13
90,TRUE,12
91,TRUE,11
92,TRUE,8
93,TRUE,12
94,TRUE,11
95,TRUE,9
96,TRUE,9
97,TRUE,10
98,TRUE,13
99,TRUE,11
100,TRUE,13
