"idx","sims","years","land_type","yield_value","ytb_type","man_bud_type","trend_Min.","trend_Median","trend_Mean","trend_Max.","EXT","EXT_first","get_res","land_dim_1","land_dim_2","land_ownership","tend_crops","tend_crop_yld","scaring","minimum_cost","remove_pr","res_death_type","lambda","res_death_K","RESOURCE_ini","manage_target","manager_budget","user_budget","public_land","stakeholders","res_consume","observe_type","res_move_obs","agent_view","times_observe","agent_move","converge_crit","ga_mingen","land_type_max_frac"
"20191209161754_nullModel-YTB20",100,100,"oneRich",0.4,"beta1","mean",0.192847068794782,0.981199791092828,0.932112056428473,1.16776300184354,2,92,"Full",200,200,TRUE,TRUE,0.2,TRUE,10,0.075,3,0.25,10000,1000,1000,1000,1000,0,8,0.2,0,TRUE,100,10,100,0.1,40,0.25
"20191209161757_nullModel-YTB20",100,100,"oneRich",0.4,"beta1","mean",0.0115099985166595,1.01205111240813,0.993395930013267,1.25936507576667,1,38,"Full",200,200,TRUE,TRUE,0.2,TRUE,10,0.075,3,0.25,10000,1000,1000,1000,1000,0,8,0.2,0,TRUE,100,10,100,0.1,40,0.5
"20191209161759_nullModel-YTB20",100,100,"oneRich",0.4,"beta1","mean",0.422590133588418,0.999835812639976,0.97864315889015,1.10774216900479,0,Inf,"Full",200,200,TRUE,TRUE,0.2,TRUE,10,0.075,3,0.25,10000,1000,1000,1000,1000,0,8,0.2,0,TRUE,100,10,100,0.1,40,0.75
"20191209161801_nullModel-YTB20",100,100,"oneRich",0.4,"beta1","mean",0.763318125856995,1.05178416682885,1.04905070705256,1.11649251957044,0,Inf,"Full",200,200,TRUE,TRUE,0.2,TRUE,10,0.075,3,0.25,10000,1000,1000,1000,1000,0.25,8,0.2,0,TRUE,100,10,100,0.1,40,0.25
"20191209174049_nullModel-YTB20",100,100,"oneRich",0.4,"beta1","mean",0.268724277022913,1.00901608372687,0.98821965568277,1.13547992702749,1,80,"Full",200,200,TRUE,TRUE,0.2,TRUE,10,0.075,3,0.25,10000,1000,1000,1000,1000,0,8,0.2,0,TRUE,100,10,100,0.1,40,0.5
"20191209174133_nullModel-YTB20",100,100,"oneRich",0.4,"beta1","mean",0.329492457300615,0.998063148527826,0.987193188269557,1.23731347380766,1,95,"Full",200,200,TRUE,TRUE,0.2,TRUE,10,0.075,3,0.25,10000,1000,1000,1000,1000,0,8,0.2,0,TRUE,100,10,100,0.1,40,0.75
"20191209174223_nullModel-YTB20",100,100,"oneRich",0.4,"beta1","mean",0.669004469055323,1.02897017732978,1.02831237251049,1.12262570952979,0,Inf,"Full",200,200,TRUE,TRUE,0.2,TRUE,10,0.075,3,0.25,10000,1000,1000,1000,1000,0.25,8,0.2,0,TRUE,100,10,100,0.1,40,0.5
"20191209174448_nullModel-YTB20",100,100,"oneRich",0.4,"beta1","mean",0.407212894921853,1.03940568820032,1.03379067881412,1.20688651121595,1,89,"Full",200,200,TRUE,TRUE,0.2,TRUE,10,0.075,3,0.25,10000,1000,1000,1000,1000,0.25,8,0.2,0,TRUE,100,10,100,0.1,40,0.25
"20191210074146_nullModel-YTB20",100,100,"oneRich",0.4,"beta1","mean",0.972857634687848,1.01833948730106,1.02138778201869,1.13585231260399,0,Inf,"Full",200,200,TRUE,TRUE,0.2,TRUE,10,0.075,3,0.25,10000,1000,1000,1000,1000,0.25,8,0.2,0,TRUE,100,10,100,0.1,40,0.75
"20191210074157_nullModel-YTB20",100,100,"equal",0.4,"beta1","mean",0.0938332429071825,0.915767288957824,0.870945858010404,1.31361181276131,5,49,"Full",200,200,TRUE,TRUE,0.2,TRUE,10,0.075,3,0.25,10000,1000,1000,1000,1000,0,8,0.2,0,TRUE,100,10,100,0.1,40,NA
"20191210074207_nullModel-YTB20",100,100,"equal",0.4,"beta1","mean",0.76209856309148,1.04922301709798,1.04819459467448,1.16002877325158,0,Inf,"Full",200,200,TRUE,TRUE,0.2,TRUE,10,0.075,3,0.25,10000,1000,1000,1000,1000,0.25,8,0.2,0,TRUE,100,10,100,0.1,40,NA
