"idx","sims","years","land_type","yield_value","ytb_type","man_bud_type","trend_Min.","trend_Median","trend_Mean","trend_Max.","EXT","EXT_first","get_res","land_dim_1","land_dim_2","land_ownership","tend_crops","tend_crop_yld","scaring","minimum_cost","remove_pr","res_death_type","lambda","res_death_K","RESOURCE_ini","manage_target","manager_budget","user_budget","public_land","stakeholders","res_consume","observe_type","res_move_obs","agent_view","times_observe","agent_move","converge_crit","ga_mingen"
"20191128130911_nullModel-YTB3",100,100,"equal",0.2,"beta1","fixed",0.75328070486861,1.01640985945082,1.01474398509093,1.09481000352723,1,1,"Full",200,200,TRUE,TRUE,0.2,TRUE,10,0.075,3,0.25,10000,1000,1000,1000,1000,0,8,0.2,0,TRUE,100,10,100,0.1,40
"20191128145515_nullModel-YTB3",100,100,"equal",0.4,"beta1","fixed",0.11968030168233,0.967133048565541,0.889235846589007,1.22544575257711,9,1,"Full",200,200,TRUE,TRUE,0.2,TRUE,10,0.075,3,0.25,10000,1000,1000,1000,1000,0,8,0.2,0,TRUE,100,10,100,0.1,40
"20191128145538_nullModel-YTB3",100,100,"equal",0.6,"beta1","fixed",8.37016432582749e-07,0.364919006444134,0.459737318477403,2.56612942053498,88,7,"Full",200,200,TRUE,TRUE,0.2,TRUE,10,0.075,3,0.25,10000,1000,1000,1000,1000,0,8,0.2,0,TRUE,100,10,100,0.1,40
"20191128145551_nullModel-YTB3",100,100,"equal",0.8,"beta1","fixed",1.61406839940201e-13,0.000743991878214235,0.651721674728338,13.3239732447301,100,3,"Full",200,200,TRUE,TRUE,0.2,TRUE,10,0.075,3,0.25,10000,1000,1000,1000,1000,0,8,0.2,0,TRUE,100,10,100,0.1,40
"20191128145708_nullModel-YTB3",100,100,"equal",0.4,"beta1","fixed",0.155045002110081,0.998940745903231,0.910056102547989,1.16383227351432,7,69,"Full",200,200,TRUE,TRUE,0.5,TRUE,10,0.075,3,0.25,10000,1000,1000,1000,1000,0,8,0.2,0,TRUE,100,10,100,0.1,40
"20191128161853_nullModel-YTB3",100,100,"equal",0.2,"beta1","fixed",0.745588514436094,1.0170675528634,1.01332189631962,1.06265179745013,0,Inf,"Full",200,200,TRUE,TRUE,0.5,TRUE,10,0.075,3,0.25,10000,1000,1000,1000,1000,0,8,0.2,0,TRUE,100,10,100,0.1,40
"20191128161927_nullModel-YTB3",100,100,"equal",0.6,"beta1","fixed",1.15529592456421e-08,0.425766801463413,0.461615504852251,2.81288776838929,86,1,"Full",200,200,TRUE,TRUE,0.5,TRUE,10,0.075,3,0.25,10000,1000,1000,1000,1000,0,8,0.2,0,TRUE,100,10,100,0.1,40
"20191128161947_nullModel-YTB3",100,100,"equal",0.8,"beta1","fixed",2.53129207335413e-13,0.00282493473889153,0.221010788513593,1.96540765245272,100,3,"Full",200,200,TRUE,TRUE,0.5,TRUE,10,0.075,3,0.25,10000,1000,1000,1000,1000,0,8,0.2,0,TRUE,100,10,100,0.1,40
"20191128170045_nullModel-YTB3",100,100,"equal",0.2,"beta1","fixed",0.777472245497347,1.01642393437563,1.01540917633039,1.06624107436863,0,Inf,"Full",200,200,TRUE,TRUE,0.8,TRUE,10,0.075,3,0.25,10000,1000,1000,1000,1000,0,8,0.2,0,TRUE,100,10,100,0.1,40
"20191128170456_nullModel-YTB3",100,100,"equal",0.4,"beta1","fixed",0.0174708521627611,1.00528126363916,0.935229012737258,1.18865524307269,4,44,"Full",200,200,TRUE,TRUE,0.8,TRUE,10,0.075,3,0.25,10000,1000,1000,1000,1000,0,8,0.2,0,TRUE,100,10,100,0.1,40
"20191128170515_nullModel-YTB3",100,100,"equal",0.6,"beta1","fixed",1.29023170237531e-06,0.330013332779856,0.465077720979345,2.64694472127271,84,1,"Full",200,200,TRUE,TRUE,0.8,TRUE,10,0.075,3,0.25,10000,1000,1000,1000,1000,0,8,0.2,0,TRUE,100,10,100,0.1,40
"20191128173315_nullModel-YTB3",100,100,"equal",0.8,"beta1","fixed",1.94341897275636e-13,0.00519511786098047,0.474460238410093,3.72481012942905,100,1,"Full",200,200,TRUE,TRUE,0.8,TRUE,10,0.075,3,0.25,10000,1000,1000,1000,1000,0,8,0.2,0,TRUE,100,10,100,0.1,40
"20191128184314_nullModel-YTB3",100,100,"equal",0.2,"beta1","fixed",0.852156931546331,1.02703134398964,1.02666832327483,1.07449052936038,0,Inf,"Full",200,200,TRUE,TRUE,0.2,TRUE,10,0.075,3,0.25,10000,1000,1000,1000,1000,0.25,8,0.2,0,TRUE,100,10,100,0.1,40
"20191128184331_nullModel-YTB3",100,100,"equal",0.4,"beta1","fixed",0.995458889556681,1.03454770202102,1.03847935302835,1.11581999910618,0,Inf,"Full",200,200,TRUE,TRUE,0.2,TRUE,10,0.075,3,0.25,10000,1000,1000,1000,1000,0.25,8,0.2,0,TRUE,100,10,100,0.1,40
"20191128192606_nullModel-YTB3",100,100,"equal",0.6,"beta1","fixed",0.457486399219694,1.04663838152219,1.04571068695847,1.20773680108957,1,1,"Full",200,200,TRUE,TRUE,0.2,TRUE,10,0.075,3,0.25,10000,1000,1000,1000,1000,0.25,8,0.2,0,TRUE,100,10,100,0.1,40
"20191128192618_nullModel-YTB3",100,100,"equal",0.8,"beta1","fixed",0.556429367392132,1.03206408393586,1.03526838299689,1.20834526522522,0,Inf,"Full",200,200,TRUE,TRUE,0.2,TRUE,10,0.075,3,0.25,10000,1000,1000,1000,1000,0.25,8,0.2,0,TRUE,100,10,100,0.1,40
